,ID,starter,input,condition,cell_type
45,41_Amy 1,2.1986570869544226,3.237292337567459,DAT-Cre cTRIO,unknown
46,62_NAcMed 2,2.2041199826559246,3.904931827395653,vGluT2-Cre cTRIO,unknown
47,28_Amy 4,2.292256071356476,3.428134794028789,TRIO,unknown
48,15_NAcLat 3,2.338013561917151,4.531453369556622,TRIO,unknown
49,25_Amy 1,2.4955443375464483,3.8656960599160706,TRIO,unknown
50,32_NAcLat 4,2.507855871695831,4.009280884255359,DAT-Cre cTRIO,unknown
51,29_NAcLat 1,2.6190933306267428,4.563255573435253,DAT-Cre cTRIO,unknown
52,31_NAcLat 3,2.6232492903979003,4.277998644200288,DAT-Cre cTRIO,unknown
53,7_GAD2-Cre 3,2.6693168805661123,3.6915235221681546,Input Tracing,GAD2
54,60_NAcLat 4,2.6893088591236203,4.102879434869378,vGluT2-Cre cTRIO,unknown
55,35_NAcMed 3,2.6989700043360187,4.316955306945021,DAT-Cre cTRIO,unknown
56,33_NAcMed 1,2.717670503002262,3.433289685195026,DAT-Cre cTRIO,unknown
57,11_vGluT2-Cre 3,2.7307822756663893,4.200877845749026,Input Tracing,vGluT
58,14_NAcLat 2,2.7634279935629373,4.719281555760674,TRIO,unknown
59,12_vGluT2-Cre 4,2.7895807121644256,3.915030290259161,Input Tracing,vGluT
60,30_NAcLat 2,2.828015064223977,4.233782715084948,DAT-Cre cTRIO,unknown
61,13_NAcLat 1,2.8505781692818375,4.534089594760569,TRIO,unknown
62,16_NAcLat 4,2.8519374645445623,4.749628114854059,TRIO,unknown
63,9_vGluT2-Cre 1,3.0199466816788423,4.325823419002744,Input Tracing,vGluT
64,6_GAD2-Cre 2,3.0253058652647704,3.550717423469283,Input Tracing,GAD2
65,4_DAT-Cre 4,3.0484418035504044,4.559499657214674,Input Tracing,DAT
66,10_vGluT2-Cre 2,3.1571544399062814,4.128496198632706,Input Tracing,vGluT
67,2_DAT-Cre 2,3.225309281725863,4.214578953570499,Input Tracing,DAT
68,8_GAD2-Cre 4,3.230448921378274,3.4847268042986617,Input Tracing,GAD2
69,5_GAD2-Cre 1,3.2477278329097232,4.41674033367636,Input Tracing,GAD2
70,1_DAT-Cre 1,3.4032921451582543,4.26254600711293,Input Tracing,DAT
71,3_DAT-Cre 3,3.460747541844197,4.221283799492686,Input Tracing,DAT
